STATE,FL_INT,PRES_INT,PRES_EXT,PRES_PAC,Flow,VOLUME,VALVE_INS,REF
1,0,7.01,-0.52,5.51,26.21,11.84,50,10
1,0,7.74,-0.52,6.08,28.83,11.84,55,10
1,0,8.63,-0.53,6.71,31.46,11.84,60,10
1,0,9.59,-0.52,7.39,34.27,11.85,65,10
1,0,10.63,-0.52,8.16,37.01,11.85,70,10
1,0,11.52,-0.52,8.75,39.13,11.85,65,10
1,0,12.33,-0.53,9.31,40.35,11.85,60,10
1,0,12.98,-0.53,9.69,40.82,11.86,55,10
1,0,13.26,-0.52,9.92,40.52,11.86,50,10
1,0,13.41,-0.53,10.02,39.93,11.86,45,10
1,0,13.38,-0.53,10,39.33,11.86,40,10
1,0,13.27,-0.53,9.88,38.27,11.86,35,10
1,0,13.17,-0.53,9.8,37.36,11.87,30,10
1,0,12.98,-0.53,9.64,36.54,11.87,25,10
1,0,12.78,-0.53,9.46,34.97,11.87,20,10
1,0,12.46,-0.53,9.18,33.15,11.87,15,10
1,0,12.36,-0.53,9.13,32.51,11.88,20,10
2,0,12.31,-0.53,9.12,32.03,11.88,23.47,10
2,0,12.24,-0.53,9.07,31.05,11.88,23.47,10
2,0,11.88,-0.53,8.79,27.64,11.88,23.47,10
2,0,11.31,-0.53,8.45,25.79,11.88,23.47,10
2,0,11.18,-0.53,8.31,24.52,11.88,23.47,10
2,0,11,-0.53,8.19,22.9,11.89,23.47,10
4,0,10.85,-0.53,8.1,22.14,11.89,23.47,10
4,0,10.07,-0.53,7.37,19.29,11.89,0,3
4,0,9.3,-0.53,6.85,17.64,11.89,0,3
4,0,8.63,-0.53,6.4,16.83,11.89,0,3
4,0,8.09,-0.53,6.06,15.83,11.89,0,3
4,0,7.6,-0.53,5.74,14.9,11.89,0,3
4,0,7.19,-0.53,5.48,14.29,11.89,0,3
4,0,6.85,-0.53,5.23,13.78,11.89,0,3
4,0,6.55,-0.53,5.01,13.52,11.89,0,3
4,0,6.28,-0.53,4.82,13.26,11.89,0,3
4,0,6.04,-0.53,4.64,12.84,11.9,0,3
4,0,5.84,-0.53,4.42,12.59,11.9,0,3
4,0,5.65,-0.53,4.22,12.04,11.9,0,3
4,0,5.47,-0.53,4.06,11.63,11.9,0,3
4,0,5.3,-0.53,3.91,10.84,11.9,0,3
4,0,5.13,-0.52,3.75,10.13,11.9,0,3
4,0,4.95,-0.53,3.61,9.6,11.9,0,3
4,0,4.8,-0.52,3.56,8.84,11.9,0,3
