STATE,FL_INT,PRES_INT,PRES_EXT,PRES_PAC,Flow,VOLUME,VALVE_INS,REF
1,0,6.2,-0.44,4.88,28.23,4.73,60,10
1,0,7.28,-0.44,5.64,31.22,4.73,65,10
1,0,8.43,-0.44,6.47,34.1,4.73,70,10
1,0,9.5,-0.44,7.27,36.95,4.74,75,10
1,0,10.45,-0.44,7.97,38.62,4.74,75.76,10
1,0,11.41,-0.44,8.73,40.61,4.74,70.76,10
1,0,12.2,-0.44,9.26,41.63,4.74,65.76,10
1,0,12.77,-0.44,9.63,42.11,4.75,60.76,10
1,0,13.2,-0.44,9.93,41.8,4.75,55.76,10
1,0,13.33,-0.44,9.98,41.28,4.75,50.76,10
1,0,13.39,-0.44,9.96,40.57,4.75,45.76,10
1,0,13.34,-0.44,9.89,39.57,4.76,40.76,10
1,0,13.18,-0.44,9.76,38.88,4.76,35.76,10
1,0,12.97,-0.44,9.65,37.42,4.76,30.76,10
1,0,12.76,-0.44,9.53,36.52,4.76,25.76,10
2,0,12.49,-0.44,9.36,34.81,4.77,20.76,10
2,0,12.18,-0.44,9.15,33.19,4.77,20.76,10
2,0,11.6,-0.44,8.73,29.55,4.77,20.76,10
2,0,10.92,-0.44,8.28,27.53,4.77,20.76,10
2,0,10.66,-0.44,8.02,26.09,4.77,20.76,10
2,0,10.41,-0.44,7.82,24.51,4.77,20.76,10
4,0,10.09,-0.44,7.6,22.67,4.78,20.76,10
4,0,9.33,-0.44,6.89,19.83,4.78,0,0
4,0,8.86,-0.44,6.52,18.21,4.78,0,0
4,0,8.4,-0.44,6.2,17.01,4.78,0,0
4,0,8.01,-0.44,5.93,16.08,4.78,0,0
4,0,7.64,-0.44,5.69,15.34,4.78,0,0
4,0,7.32,-0.44,5.45,14.51,4.78,0,0
4,0,7.04,-0.44,5.24,13.57,4.78,0,0
4,0,6.77,-0.44,5.1,12.98,4.78,0,0
4,0,6.56,-0.44,4.98,12.53,4.78,0,0
4,0,6.37,-0.44,4.86,12.11,4.78,0,0
