STATE,FL_INT,PRES_INT,PRES_EXT,PRES_PAC,Flow,VOLUME,VALVE_INS,REF
4,0,5.42,-0.44,4.14,11.01,3.41,0,5
4,0,5.46,-0.44,4.17,11.16,3.41,0,5
4,0,5.49,-0.44,4.17,11.32,3.41,0,5
4,0,5.51,-0.44,4.23,11.23,3.41,0,5
4,0,5.54,-0.44,4.28,11.22,3.41,0,5
4,0,5.55,-0.44,4.3,11.37,3.41,0,5
4,0,5.56,-0.44,4.33,11.22,3.41,0,5
4,0,5.56,-0.44,4.36,11.03,3.41,0,5
4,0,5.58,-0.44,4.38,11.06,3.41,0,5
4,0,5.59,-0.44,4.38,11,3.41,0,5
4,0,5.59,-0.44,4.37,11.03,3.41,0,5
1,0,5.59,-0.44,4.35,11.32,3.41,0,5
1,0,5.79,-0.44,4.49,13.08,3.41,5,15
1,0,5.91,-0.44,4.56,14.48,3.42,10,15
1,0,6.05,-0.44,4.7,15.72,3.42,15,15
1,0,6.24,-0.44,4.9,17.07,3.42,20,15
1,0,6.48,-0.44,5.09,18.57,3.42,25,15
1,0,6.77,-0.44,5.28,19.92,3.42,30,15
1,0,7.07,-0.44,5.5,21.28,3.42,35,15
1,0,7.46,-0.44,5.82,22.72,3.42,40,15
1,0,7.97,-0.44,6.2,24.79,3.42,45,15
1,0,8.62,-0.44,6.68,27.26,3.43,50,15
1,0,9.3,-0.44,7.19,29.43,3.43,55,15
1,0,10.05,-0.44,7.75,31.84,3.43,60,15
1,0,10.97,-0.44,8.43,34.52,3.43,65,15
1,0,11.98,-0.44,9.15,37.01,3.43,70,15
1,0,13.14,-0.44,10,39.17,3.44,75,15
1,0,14.24,-0.44,10.8,41.81,3.44,80,15
1,0,15.37,-0.44,11.61,44.24,3.44,85,15
1,0,16.6,-0.44,12.48,46.76,3.44,90,15
1,0,17.38,-0.44,13.03,47.72,3.45,85,15
1,0,18.25,-0.44,13.56,48.93,3.45,80,15
1,0,19.09,-0.44,14.03,49.95,3.45,75,15
1,0,19.49,-0.44,14.35,49.98,3.46,70,15
1,0,19.89,-0.44,14.64,50.03,3.46,65,15
1,0,19.97,-0.44,14.66,49.71,3.46,60,15
1,0,19.81,-0.44,14.62,48.53,3.46,55,15
1,0,19.67,-0.44,14.51,47.36,3.47,50,15
2,0,19.44,-0.44,14.37,45.97,3.47,45,15
2,0,18.93,-0.44,14.01,44.19,3.47,45,15
2,0,18.23,-0.44,13.44,40.89,3.47,45,15
2,0,16.72,-0.44,12.37,36.28,3.48,45,15
2,0,15.98,-0.44,11.75,33.55,3.48,45,15
2,0,15.29,-0.44,11.22,31.13,3.48,45,15
4,0,14.67,-0.44,10.66,28.2,3.48,45,15
4,0,13.43,-0.44,9.51,21.19,3.48,0,5
4,0,12.22,-0.44,8.71,19.59,3.49,0,5
4,0,11.21,-0.44,8.04,18.07,3.49,0,5
4,0,10.39,-0.44,7.5,16.61,3.49,0,5
4,0,9.65,-0.44,7,15.65,3.49,0,5
4,0,9.06,-0.44,6.59,15,3.49,0,5
4,0,8.53,-0.44,6.22,14.34,3.49,0,5
4,0,8.09,-0.44,5.94,13.62,3.49,0,5
4,0,7.73,-0.44,5.72,13.21,3.49,0,5
4,0,7.41,-0.44,5.53,12.94,3.49,0,5
4,0,7.15,-0.44,5.36,12.67,3.49,0,5
4,0,6.91,-0.44,5.21,12.34,3.49,0,5
4,0,6.69,-0.44,5.06,12.02,3.49,0,5
4,0,6.52,-0.44,4.94,11.65,3.5,0,5
4,0,6.36,-0.44,4.82,11.47,3.5,0,5
4,0,6.21,-0.44,4.72,11.35,3.5,0,5
4,0,6.09,-0.44,4.63,11.4,3.5,0,5
4,0,5.96,-0.44,4.53,11.15,3.5,0,5
4,0,5.83,-0.44,4.42,10.95,3.5,0,5
4,0,5.7,-0.44,4.31,10.41,3.5,0,5
4,0,5.56,-0.44,4.2,9.95,3.5,0,5
4,0,5.42,-0.44,4.08,9.41,3.5,0,5
4,0,5.31,-0.44,3.96,8.98,3.5,0,5
4,0,5.18,-0.44,3.92,8.68,3.5,0,5
4,0,5.05,-0.44,3.87,8.48,3.5,0,5
4,0,4.92,-0.44,3.82,8.55,3.5,0,5
4,0,4.78,-0.44,3.73,8.71,3.5,0,5
4,0,4.65,-0.44,3.66,8.7,3.5,0,5
4,0,4.56,-0.44,3.66,8.45,3.5,0,5
4,0,4.75,-0.44,3.73,9.08,3.5,0,5
4,0,4.97,-0.44,3.85,9.52,3.51,0,5
4,0,5.17,-0.44,3.96,9.96,3.51,0,5
4,0,5.34,-0.44,4.05,10.34,3.51,0,5
4,0,5.5,-0.44,4.13,10.77,3.51,0,5
4,0,5.64,-0.44,4.23,11.17,3.51,0,5
4,0,5.69,-0.44,4.32,11.05,3.51,0,5
4,0,5.74,-0.44,4.37,10.53,3.51,0,5
4,0,5.77,-0.44,4.42,10.36,3.51,0,5
4,0,5.78,-0.44,4.45,10.47,3.51,0,5
4,0,5.8,-0.44,4.49,10.49,3.51,0,5
4,0,5.81,-0.44,4.51,10.57,3.51,0,5
4,0,5.8,-0.44,4.52,10.49,3.51,0,5
4,0,5.81,-0.44,4.53,10.62,3.51,0,5
4,0,5.8,-0.44,4.56,10.81,3.51,0,5
4,0,5.81,-0.44,4.56,10.86,3.51,0,5
4,0,5.8,-0.44,4.55,10.98,3.51,0,5
4,0,5.79,-0.44,4.55,11.18,3.52,0,5
4,0,5.78,-0.44,4.56,11.31,3.52,0,5
4,0,5.77,-0.44,4.56,11.47,3.52,0,5
4,0,5.76,-0.44,4.56,11.57,3.52,0,5
4,0,5.75,-0.44,4.57,11.52,3.52,0,5
1,0,5.73,-0.44,4.56,11.51,3.52,0,5
1,0,5.93,-0.44,4.74,13.52,3.52,5,15
1,0,6.03,-0.44,4.82,14.76,3.52,10,15
1,0,6.19,-0.44,4.96,15.9,3.52,15,15
1,0,6.39,-0.44,5.16,17.23,3.52,20,15
1,0,6.63,-0.44,5.28,18.73,3.52,25,15
1,0,6.9,-0.44,5.43,20.3,3.52,30,15
1,0,7.21,-0.44,5.62,21.5,3.53,35,15
1,0,7.64,-0.44,5.89,22.91,3.53,40,15
1,0,8.13,-0.44,6.24,24.72,3.53,45,15
1,0,8.77,-0.44,6.72,26.81,3.53,50,15
1,0,9.47,-0.44,7.26,29.59,3.53,55,15
1,0,10.26,-0.44,7.82,31.97,3.53,60,15
1,0,11.11,-0.44,8.46,34.58,3.54,65,15
1,0,12.07,-0.44,9.19,37.07,3.54,70,15
1,0,13.02,-0.44,9.93,39.7,3.54,75,15
1,0,14.05,-0.44,10.68,41.89,3.54,80,15
1,0,15.26,-0.44,11.47,43.86,3.55,85,15
1,0,16.46,-0.44,12.37,46.13,3.55,90,15
1,0,17.59,-0.44,13.13,47.54,3.55,85,15
1,0,18.6,-0.44,13.75,48.69,3.55,80,15
1,0,19.31,-0.44,14.19,49.4,3.56,75,15
1,0,19.62,-0.44,14.43,49.5,3.56,70,15
1,0,19.74,-0.44,14.46,49.58,3.56,65,15
1,0,19.97,-0.44,14.53,49.44,3.57,60,15
1,0,19.97,-0.44,14.48,48.81,3.57,55,15
2,0,19.84,-0.44,14.43,47.76,3.57,50,15
2,0,19.54,-0.44,14.24,46.37,3.58,50,15
2,0,18.98,-0.44,13.82,43.84,3.58,50,15
2,0,17.64,-0.44,12.8,38.05,3.58,50,15
2,0,16.56,-0.44,12.06,35.2,3.58,50,15
2,0,15.81,-0.44,11.51,32.73,3.58,50,15
4,0,15.21,-0.44,11.09,30.56,3.59,50,15
4,0,13.91,-0.44,9.82,25.3,3.59,0,5
4,0,12.64,-0.44,8.99,22.67,3.59,0,5
4,0,11.52,-0.44,8.25,21,3.59,0,5
4,0,10.63,-0.44,7.69,19.3,3.59,0,5
4,0,9.84,-0.44,7.19,18.01,3.59,0,5
4,0,9.16,-0.44,6.72,16.81,3.59,0,5
4,0,8.61,-0.44,6.33,15.84,3.59,0,5
4,0,8.13,-0.44,5.99,15.22,3.6,0,5
4,0,7.75,-0.44,5.72,14.7,3.6,0,5
4,0,7.41,-0.44,5.48,14.13,3.6,0,5
4,0,7.13,-0.44,5.24,13.88,3.6,0,5
4,0,6.88,-0.44,5.05,13.55,3.6,0,5
4,0,6.64,-0.44,4.86,13.07,3.6,0,5
4,0,6.45,-0.44,4.71,12.88,3.6,0,5
4,0,6.25,-0.44,4.55,12.57,3.6,0,5
4,0,6.09,-0.44,4.47,12.32,3.6,0,5
4,0,5.95,-0.44,4.41,11.91,3.6,0,5
4,0,5.79,-0.44,4.35,11.26,3.6,0,5
4,0,5.66,-0.44,4.29,10.91,3.6,0,5
4,0,5.54,-0.44,4.23,10.56,3.6,0,5
4,0,5.42,-0.44,4.17,10.25,3.6,0,5
4,0,5.28,-0.44,4.08,10.26,3.61,0,5
4,0,5.16,-0.44,3.98,10.04,3.61,0,5
4,0,5.03,-0.44,3.9,9.93,3.61,0,5
4,0,4.9,-0.44,3.85,10.01,3.61,0,5
4,0,4.8,-0.44,3.76,10.98,3.61,0,5
4,0,5.03,-0.44,3.93,11.64,3.61,0,5
4,0,5.24,-0.44,4.1,12.31,3.61,0,5
4,0,5.44,-0.44,4.26,12.68,3.61,0,5
4,0,5.63,-0.44,4.4,13.06,3.61,0,5
4,0,5.78,-0.44,4.51,13.4,3.61,0,5
4,0,5.9,-0.44,4.57,13.53,3.61,0,5
4,0,6,-0.44,4.67,13.35,3.61,0,5
4,0,6.08,-0.44,4.73,12.99,3.61,0,5
4,0,6.13,-0.44,4.77,12.71,3.61,0,5
4,0,6.19,-0.44,4.81,12.43,3.62,0,5
4,0,6.24,-0.44,4.86,12.15,3.62,0,5
4,0,6.27,-0.43,4.88,12.37,3.62,0,5
4,0,6.3,-0.44,4.92,12.31,3.62,0,5
4,0,6.36,-0.44,4.94,12.3,3.62,0,5
4,0,6.39,-0.44,4.94,12.26,3.62,0,5
4,0,6.43,-0.44,4.95,12.23,3.62,0,5
4,0,6.45,-0.44,4.95,12.57,3.62,0,5
4,0,6.48,-0.44,4.95,12.91,3.62,0,5
4,0,6.5,-0.44,4.97,12.9,3.62,0,5
4,0,6.44,-0.44,4.97,12.96,3.62,0,5
4,0,6.41,-0.44,4.98,12.94,3.62,0,5
4,0,6.39,-0.44,4.97,12.88,3.62,0,5
4,0,6.35,-0.44,4.92,12.8,3.63,0,5
4,0,6.32,-0.44,4.87,12.56,3.63,0,5
4,0,6.32,-0.44,4.83,12.54,3.63,0,5
1,0,6.31,-0.44,4.78,12.53,3.63,0,5
1,0,6.51,-0.44,4.93,14.21,3.63,5,15
1,0,6.63,-0.44,4.97,15.36,3.63,10,15
1,0,6.77,-0.44,5.07,16.67,3.63,15,15
1,0,6.95,-0.44,5.21,18.21,3.63,20,15
1,0,7.17,-0.44,5.37,19.43,3.63,25,15
1,0,7.43,-0.44,5.57,20.94,3.63,30,15
1,0,7.74,-0.44,5.8,22.29,3.64,35,15
1,0,8.12,-0.44,6.1,23.59,3.64,40,15
1,0,8.63,-0.44,6.52,25.12,3.64,45,15
1,0,9.23,-0.44,6.99,27.28,3.64,50,15
1,0,9.9,-0.44,7.5,29.75,3.64,55,15
1,0,10.75,-0.44,8.13,32.12,3.64,60,15
1,0,11.66,-0.44,8.86,34.99,3.65,65,15
1,0,12.64,-0.44,9.59,37.43,3.65,70,15
1,0,13.6,-0.44,10.3,39.54,3.65,75,15
1,0,14.53,-0.44,11.05,41.7,3.65,80,15
1,0,15.67,-0.44,11.87,43.94,3.66,85,15
1,0,16.62,-0.44,12.58,45.4,3.66,86.48,15
1,0,17.51,-0.44,13.22,46.43,3.66,81.48,15
1,0,18.22,-0.44,13.66,46.93,3.66,76.48,15
1,0,18.91,-0.44,14.03,47.61,3.67,71.48,15
1,0,19.25,-0.44,14.29,47.78,3.67,66.48,15
1,0,19.63,-0.44,14.58,47.76,3.67,61.48,15
1,0,19.77,-0.44,14.56,47.28,3.68,56.48,15
1,0,19.62,-0.44,14.52,46.3,3.68,51.48,15
1,0,19.45,-0.44,14.34,45.36,3.68,46.48,15
2,0,19.22,-0.44,14.14,44.56,3.68,41.48,15
2,0,18.8,-0.44,13.78,42.88,3.69,41.48,15
2,0,17.9,-0.44,13.08,38.58,3.69,41.48,15
2,0,16.72,-0.44,12.3,35.38,3.69,41.48,15
2,0,16.04,-0.44,11.81,33.05,3.69,41.48,15
2,0,15.41,-0.44,11.36,30.91,3.69,41.48,15
4,0,14.27,-0.44,10.32,26.88,3.7,41.48,15
4,0,13.2,-0.44,9.52,24.03,3.7,0,5
4,0,12.07,-0.44,8.76,22.32,3.7,0,5
4,0,11.16,-0.44,8.13,20.36,3.7,0,5
4,0,10.4,-0.44,7.6,18.81,3.7,0,5
4,0,9.72,-0.44,7.14,17.69,3.7,0,5
4,0,9.17,-0.44,6.74,16.75,3.7,0,5
4,0,8.68,-0.44,6.43,15.72,3.7,0,5
4,0,8.27,-0.44,6.19,15.07,3.7,0,5
4,0,7.93,-0.44,5.97,14.58,3.71,0,5
4,0,7.63,-0.44,5.79,14.04,3.71,0,5
4,0,7.37,-0.44,5.61,13.46,3.71,0,5
4,0,7.15,-0.44,5.46,13.22,3.71,0,5
4,0,6.97,-0.44,5.3,13.24,3.71,0,5
4,0,6.79,-0.44,5.15,13.17,3.71,0,5
4,0,6.61,-0.44,5.01,13.08,3.71,0,5
4,0,6.47,-0.44,4.9,12.91,3.71,0,5
4,0,6.35,-0.44,4.79,12.67,3.71,0,5
4,0,6.23,-0.44,4.73,12.29,3.71,0,5
4,0,6.1,-0.44,4.67,11.86,3.71,0,5
4,0,5.98,-0.44,4.61,11.39,3.71,0,5
4,0,5.86,-0.44,4.53,10.91,3.71,0,5
4,0,5.74,-0.44,4.46,10.82,3.72,0,5
4,0,5.61,-0.44,4.41,10.97,3.72,0,5
4,0,5.51,-0.44,4.3,10.93,3.72,0,5
4,0,5.38,-0.44,4.19,10.8,3.72,0,5
4,0,5.26,-0.44,4.09,10.64,3.72,0,5
4,0,5.13,-0.44,4,10.69,3.72,0,5
4,0,5,-0.44,3.9,10.35,3.72,0,5
4,0,4.86,-0.44,3.76,10.11,3.72,0,5
4,0,4.73,-0.44,3.65,9.86,3.72,0,5
4,0,4.61,-0.44,3.53,9.85,3.72,0,5
4,0,4.54,-0.44,3.54,9.68,3.72,0,5
4,0,4.64,-0.44,3.59,10.03,3.72,0,5
4,0,4.8,-0.44,3.69,9.89,3.72,0,5
4,0,4.94,-0.44,3.77,10.56,3.72,0,5
4,0,5.07,-0.44,3.84,11,3.72,0,5
4,0,5.21,-0.44,3.95,11.63,3.72,0,5
4,0,5.3,-0.44,4,11.64,3.73,0,5
4,0,5.38,-0.44,4.05,11.46,3.73,0,5
4,0,5.44,-0.44,4.12,11.38,3.73,0,5
4,0,5.48,-0.44,4.15,11.31,3.73,0,5
4,0,5.51,-0.44,4.18,11.14,3.73,0,5
4,0,5.53,-0.44,4.22,11.43,3.73,0,5
4,0,5.54,-0.44,4.24,11.77,3.73,0,5
4,0,5.55,-0.44,4.24,12.13,3.73,0,5
4,0,5.55,-0.44,4.24,12.44,3.73,0,5
4,0,5.56,-0.44,4.22,12.4,3.73,0,5
4,0,5.56,-0.44,4.21,12.26,3.73,0,5
4,0,5.59,-0.44,4.2,11.65,3.73,0,5
4,0,5.61,-0.44,4.19,11.22,3.73,0,5
1,0,5.63,-0.44,4.15,10.91,3.73,0,5
1,0,5.83,-0.44,4.3,12.6,3.74,5,15
1,0,5.97,-0.44,4.36,13.63,3.74,10,15
1,0,6.11,-0.44,4.49,14.85,3.74,15,15
1,0,6.3,-0.44,4.63,16.31,3.74,20,15
1,0,6.51,-0.44,4.85,17.78,3.74,25,15
1,0,6.78,-0.44,5.08,19.06,3.74,30,15
1,0,7.09,-0.44,5.34,20.55,3.74,35,15
1,0,7.55,-0.44,5.72,22.21,3.74,40,15
1,0,8.07,-0.44,6.1,24.28,3.74,45,15
1,0,8.67,-0.44,6.54,26.54,3.75,50,15
1,0,9.4,-0.44,7.08,28.86,3.75,55,15
1,0,10.2,-0.44,7.68,31.52,3.75,60,15
1,0,11.09,-0.44,8.36,33.84,3.75,65,15
1,0,12.11,-0.44,9.08,36.6,3.75,70,15
1,0,13.13,-0.44,9.79,39.4,3.76,75,15
1,0,14.2,-0.44,10.55,41.95,3.76,80,15
1,0,15.26,-0.44,11.4,44.03,3.76,85,15
1,0,16.41,-0.44,12.19,46.16,3.76,90,15
1,0,17.4,-0.44,12.84,47.56,3.77,85,15
1,0,18.23,-0.44,13.49,48.59,3.77,80,15
1,0,18.92,-0.44,14.01,49.36,3.77,75,15
1,0,19.39,-0.44,14.4,49.89,3.78,70,15
1,0,19.54,-0.44,14.54,49.62,3.78,65,15
1,0,19.69,-0.44,14.68,49.33,3.78,60,15
1,0,19.51,-0.44,14.59,48,3.78,55,15
1,0,19.47,-0.44,14.54,46.74,3.79,50,15
2,0,19.31,-0.44,14.36,45.63,3.79,45,15
2,0,18.94,-0.44,14.02,43.9,3.79,45,15
2,0,18.24,-0.44,13.45,40.86,3.8,45,15
2,0,16.72,-0.44,12.42,36.44,3.8,45,15
2,0,16,-0.44,11.84,33.66,3.8,45,15
2,0,15.31,-0.44,11.32,31.51,3.8,45,15
4,0,14.78,-0.44,10.9,29.38,3.8,45,15
4,0,13.48,-0.44,9.65,21.53,3.8,0,5
4,0,12.22,-0.44,8.83,20.14,3.81,0,5
4,0,11.15,-0.44,8.15,19.07,3.81,0,5
4,0,10.28,-0.44,7.56,17.68,3.81,0,5
4,0,9.5,-0.44,7.05,17.01,3.81,0,5
4,0,8.85,-0.44,6.61,15.93,3.81,0,5
4,0,8.31,-0.44,6.23,15.22,3.81,0,5
4,0,7.84,-0.44,5.89,14.59,3.81,0,5
4,0,7.47,-0.44,5.63,14.1,3.81,0,5
4,0,7.15,-0.44,5.44,13.73,3.81,0,5
4,0,6.88,-0.44,5.25,13.4,3.81,0,5
4,0,6.64,-0.44,5.07,12.84,3.81,0,5
4,0,6.43,-0.44,4.92,12.56,3.82,0,5
4,0,6.23,-0.44,4.78,12.37,3.82,0,5
4,0,6.02,-0.44,4.64,12.01,3.82,0,5
4,0,5.86,-0.44,4.55,11.7,3.82,0,5
4,0,5.72,-0.44,4.45,11.45,3.82,0,5
4,0,5.57,-0.44,4.35,10.92,3.82,0,5
4,0,5.44,-0.44,4.28,10.57,3.82,0,5
4,0,5.31,-0.44,4.18,10.19,3.82,0,5
4,0,5.18,-0.44,4.08,9.91,3.82,0,5
4,0,5.06,-0.44,3.97,9.55,3.82,0,5
4,0,4.96,-0.44,3.87,9.76,3.82,0,5
4,0,4.84,-0.44,3.79,9.83,3.82,0,5
4,0,4.76,-0.44,3.7,9.7,3.82,0,5
4,0,4.67,-0.44,3.58,9.6,3.82,0,5
4,0,4.56,-0.44,3.46,11.12,3.82,0,5
4,0,4.81,-0.44,3.58,11.59,3.83,0,5
4,0,5.06,-0.44,3.75,12.23,3.83,0,5
4,0,5.3,-0.44,3.93,13.21,3.83,0,5
4,0,5.46,-0.44,4.07,13.42,3.83,0,5
4,0,5.6,-0.44,4.23,13.56,3.83,0,5
4,0,5.71,-0.44,4.33,14.03,3.83,0,5
4,0,5.77,-0.44,4.41,13.72,3.83,0,5
4,0,5.84,-0.44,4.48,13.43,3.83,0,5
4,0,5.87,-0.44,4.49,13.36,3.83,0,5
4,0,5.9,-0.44,4.48,13.19,3.83,0,5
4,0,5.94,-0.44,4.48,12.81,3.83,0,5
4,0,5.96,-0.44,4.48,12.97,3.83,0,5
4,0,5.97,-0.44,4.49,12.9,3.83,0,5
4,0,5.99,-0.44,4.49,12.87,3.84,0,5
4,0,6,-0.44,4.5,12.82,3.84,0,5
4,0,6,-0.44,4.55,12.65,3.84,0,5
4,0,6,-0.44,4.59,12.54,3.84,0,5
4,0,6,-0.44,4.63,12.51,3.84,0,5
4,0,5.98,-0.44,4.65,12.4,3.84,0,5
4,0,5.98,-0.44,4.65,12.42,3.84,0,5
4,0,5.97,-0.44,4.64,12.41,3.84,0,5
4,0,5.95,-0.44,4.63,12.3,3.84,0,5
4,0,5.94,-0.44,4.6,12.18,3.84,0,5
4,0,5.93,-0.44,4.58,12.12,3.84,0,5
1,0,5.91,-0.44,4.56,12.09,3.84,0,5
1,0,6.1,-0.44,4.71,13.81,3.84,5,15
1,0,6.22,-0.44,4.78,14.82,3.85,10,15
1,0,6.37,-0.44,4.9,16.01,3.85,15,15
1,0,6.59,-0.44,5.08,17.07,3.85,20,15
1,0,6.8,-0.44,5.24,18.29,3.85,25,15
1,0,7.06,-0.44,5.42,19.41,3.85,30,15
1,0,7.42,-0.44,5.71,20.95,3.85,35,15
1,0,7.86,-0.44,6.04,22.24,3.85,40,15
1,0,8.36,-0.44,6.44,24.56,3.85,45,15
1,0,9.01,-0.44,6.91,27.01,3.86,50,15
1,0,9.73,-0.44,7.47,29.28,3.86,55,15
1,0,10.49,-0.44,8.06,31.69,3.86,60,15
1,0,11.4,-0.44,8.7,34.38,3.86,65,15
1,0,12.41,-0.44,9.41,36.99,3.86,70,15
1,0,13.39,-0.44,10.12,39.38,3.87,75,15
1,0,14.38,-0.44,10.82,41.46,3.87,80,15
1,0,15.4,-0.44,11.53,43.32,3.87,85,15
1,0,16.71,-0.44,12.44,45.66,3.87,90,15
1,0,17.76,-0.44,13.24,47.38,3.88,85,15
1,0,18.56,-0.44,13.86,48.22,3.88,80,15
1,0,19.08,-0.44,14.23,48.67,3.88,75,15
1,0,19.6,-0.44,14.61,49.01,3.89,70,15
1,0,19.83,-0.44,14.62,48.71,3.89,65,15
1,0,19.99,-0.44,14.72,48.67,3.89,60,15
1,0,20.06,-0.44,14.7,48.41,3.89,55,15
2,0,19.91,-0.44,14.53,47.07,3.9,50,15
2,0,19.72,-0.44,14.35,45.97,3.9,50,15
2,0,19.18,-0.44,13.85,43.38,3.9,50,15
2,0,17.98,-0.44,12.96,38.17,3.9,50,15
2,0,16.86,-0.44,12.19,35.21,3.91,50,15
2,0,16.11,-0.44,11.62,32.82,3.91,50,15
4,0,15.48,-0.44,11.17,30.59,3.91,50,15
4,0,14.12,-0.44,9.82,25.46,3.91,0,5
4,0,12.83,-0.44,8.96,23.09,3.91,0,5
4,0,11.65,-0.44,8.18,21.32,3.91,0,5
4,0,10.76,-0.44,7.59,19.79,3.92,0,5
4,0,9.94,-0.44,7.07,18.23,3.92,0,5
4,0,9.25,-0.44,6.62,17.35,3.92,0,5
4,0,8.67,-0.44,6.26,16.45,3.92,0,5
4,0,8.16,-0.44,5.96,15.78,3.92,0,5
4,0,7.74,-0.44,5.71,15.34,3.92,0,5
4,0,7.38,-0.44,5.5,14.92,3.92,0,5
4,0,7.06,-0.44,5.31,14.55,3.92,0,5
4,0,6.78,-0.44,5.14,13.93,3.92,0,5
4,0,6.54,-0.44,4.95,13.46,3.92,0,5
4,0,6.35,-0.44,4.79,13.03,3.92,0,5
4,0,6.17,-0.44,4.64,12.77,3.93,0,5
4,0,5.99,-0.44,4.52,12.42,3.93,0,5
4,0,5.87,-0.44,4.43,12.2,3.93,0,5
4,0,5.72,-0.44,4.31,11.94,3.93,0,5
4,0,5.58,-0.44,4.21,11.64,3.93,0,5
4,0,5.44,-0.44,4.11,11.57,3.93,0,5
4,0,5.33,-0.44,4.04,11.63,3.93,0,5
4,0,5.2,-0.44,3.96,11.85,3.93,0,5
4,0,5.07,-0.44,3.88,11.82,3.93,0,5
4,0,4.97,-0.44,3.82,11.72,3.93,0,5
4,0,4.85,-0.44,3.76,11.55,3.93,0,5
